Latitude,Longitude
40.847075,-73.898247
40.664065,-73.909566
40.662769,-73.908984
40.665518,-73.910487
40.663255,-73.909106
40.665951,-73.909795
40.663148,-73.909077
40.66071,-73.908457
40.661305,-73.91542
40.661129,-73.907812
40.669745,-73.906859
40.665097,-73.913206
40.665613,-73.920587
40.657233,-73.912564
40.655828,-73.910331
40.655981,-73.909322
40.655883,-73.909981
40.656153,-73.908172
40.664805,-73.923119
40.663944,-73.924439
40.662455,-73.926964
40.66264,-73.92032
40.658474,-73.920581
40.660467,-73.92113
40.659951,-73.917592
40.659738,-73.926577
40.655331,-73.916044
40.654327,-73.917775
40.658163,-73.915979
40.654538,-73.917263
40.668668,-73.906604
40.668248,-73.906479
40.668607,-73.909221
40.669077,-73.906038
40.670686,-73.904064
40.672108,-73.911243
40.670289,-73.90803
40.672599,-73.910121
40.670222,-73.907074
40.670019,-73.909865
40.670326,-73.906487
40.668494,-73.91872
40.67024,-73.915567
40.669062,-73.915457
40.662618,-73.908433
40.664415,-73.901629
40.66833,-73.90229
40.657215,-73.903452
40.674615,-73.905514
40.666434,-73.90314
40.662211,-73.919589
40.792729,-73.940913
40.78874,-73.948825
40.787585,-73.944655
40.786099,-73.942612
40.791007,-73.939069
40.790581,-73.948343
40.795008,-73.948495
40.794249,-73.939799
40.791658,-73.938591
40.793056,-73.94067
40.793985,-73.942905
40.796457,-73.947439
40.792642,-73.940956
40.792853,-73.940822
40.795771,-73.946725
40.796145,-73.943676
40.788417,-73.94096
40.789717,-73.943111
40.789379,-73.943332
40.790544,-73.945411
40.79131,-73.946949
40.792765,-73.945886
40.790216,-73.947744
40.790501,-73.947538
40.793982,-73.949243
40.789922,-73.947961
40.790501,-73.947538
40.791966,-73.945594
40.798917,-73.943533
40.797447,-73.94037
40.796167,-73.937941
40.798118,-73.942006
40.799415,-73.945645
40.797752,-73.94015
40.797233,-73.940432
40.78771,-73.949288
40.796341,-73.935152
40.802142,-73.936967
40.79979,-73.938645
40.795419,-73.935847
40.800201,-73.942557
40.805328,-73.940974
40.80211,-73.945394
40.808827,-73.940512
40.806215,-73.941807
40.80722,-73.937468
40.814873,-73.940311
40.817088,-73.938669
40.815935,-73.939534
40.810416,-73.939961
40.812396,-73.942095
40.813274,-73.94148
40.809627,-73.93782
40.672486,-73.916441
40.677333,-73.924748
40.677951,-73.921715
40.673578,-73.916764
40.676469,-73.913
40.678273,-73.910506
40.678596,-73.916516
40.685892,-73.920898
40.672657,-73.922215
40.676014,-73.921923
40.680605,-73.928606
40.681862,-73.928835
40.682914,-73.914066
40.674337,-73.922058
40.679029,-73.924663
40.682031,-73.93186
40.679876,-73.908009
40.678993,-73.924043
40.670077,-73.92188
40.67638,-73.911727
40.832967,-73.897535
40.830489,-73.91553
40.830933,-73.90431
40.834741,-73.901771
,
40.836196,-73.916051
40.830374,-73.919017
40.836099,-73.90749
40.826579,-73.902968
40.834122,-73.90024
40.830198,-73.914681
40.832783,-73.918151
40.834248,-73.90979
40.835103,-73.908051
40.838472,-73.913142
40.828949,-73.908197
,
40.834931,-73.903144
40.833464,-73.914634
40.835227,-73.912662
40.836252,-73.914551
40.83069,-73.899562
40.827009,-73.905229
40.839249,-73.913448
40.830862,-73.910897
40.833717,-73.915389
40.834708,-73.908272
40.833992,-73.916342
40.831542,-73.910025
40.829999,-73.906313
40.821432,-73.905183
40.837416,-73.910393
40.831164,-73.900894
40.834976,-73.90353
40.837377,-73.910296
40.833627,-73.896384
40.700422,-73.925209
40.696702,-73.918671
40.705094,-73.917507
40.703707,-73.912705
40.698859,-73.917944
40.696629,-73.910197
40.703017,-73.925736
40.702936,-73.920597
40.702758,-73.929314
40.703819,-73.931012
,
40.698456,-73.91119
40.699485,-73.911498
40.693512,-73.90759
40.69791,-73.912453
40.693104,-73.923216
40.705039,-73.920414
40.69857,-73.920717
40.701761,-73.919217
40.702187,-73.919967
40.699749,-73.920024
40.699516,-73.923652
40.701475,-73.918676
40.703783,-73.918403
40.704056,-73.915748
40.697075,-73.919363
40.701142,-73.91397
40.702236,-73.924388
40.697294,-73.907365
40.703297,-73.926262
40.70062,-73.917173
40.69273,-73.922419
40.698918,-73.917197
40.826613,-73.922751
40.820247,-73.913
40.817035,-73.927983
40.818403,-73.922287
40.82348,-73.909043
40.814329,-73.920981
40.827092,-73.920774
40.820467,-73.921371
40.821431,-73.915289
40.822584,-73.914684
40.821566,-73.912106
40.825947,-73.919633
40.823968,-73.9243
,
40.825155,-73.92633
40.824719,-73.926561
40.827923,-73.92031
,
40.817111,-73.922881
40.813617,-73.953094
,
,
40.813663,-73.951262
40.81449,-73.948028
40.810045,-73.943812
40.808639,-73.948582
40.812323,-73.949609
40.80832,-73.954434
40.815476,-73.954726
40.812515,-73.95691
40.812933,-73.945985
40.809286,-73.948112
40.813136,-73.951642
40.815638,-73.957009
40.814248,-73.959354
40.696961,-73.949512
40.693796,-73.948883
40.692552,-73.948632
40.69325,-73.942973
40.694772,-73.940401
40.696631,-73.937792
40.701096,-73.930445
40.698801,-73.934973
40.698191,-73.944311
40.699745,-73.940176
40.698031,-73.937095
40.707628,-73.940213
40.707908,-73.93987
40.704472,-73.941009
40.710105,-73.948708
40.703761,-73.947242
40.708517,-73.945096
40.707282,-73.944905
40.70643,-73.943045
40.705465,-73.944629
40.705288,-73.942858
40.702939,-73.944235
40.701855,-73.955636
40.695056,-73.949153
,
40.695076,-73.946235
40.695814,-73.945344
40.693782,-73.943525
40.695505,-73.940544
40.696817,-73.936605
40.700362,-73.929144
40.701019,-73.940705
40.701171,-73.942667
40.700458,-73.944197
40.698174,-73.944451
40.705468,-73.939457
40.706409,-73.939619
40.708767,-73.940031
40.711173,-73.942114
40.711063,-73.942161
